date,2008 financial crisis,blizzard,China unemployment rate,climate change,cold wave,cold,cyclone,damp,drought,dry,Ebola outbreak,Ebola virus,Ebola,economic crisis,economic recession,financial crisis,Flood,forest fire,frost,global warming,gust,hail,heat wave,heavy rain,high temperature,terrorist attack,Libyan crisis,Middle East war,mountain fire,natural disasters,oil crisis,oil stocks,pest,pests and diseases,rain,rainfall,snow,storm,strong wind,Syria war,terrorism,terrorist attack,tornado,typhoon,Unemployment benefits,unemployment rate,unemployment
2010/1/9,0,29,0,43,0,100,29,0,22,98,0,30,22,19,42,25,10,0,54,51,50,25,8,5,29,38,0,74,58,9,0,0,11,0,53,6,45,15,0,0,72,38,3,39,8,48,23
2010/1/10,60,26,0,36,0,98,26,16,22,99,73,61,44,15,0,72,10,0,67,70,0,22,5,4,47,24,0,38,54,24,0,58,10,0,59,8,36,14,0,0,33,24,5,15,38,37,73
2010/1/11,41,25,0,51,49,96,29,22,17,92,0,21,20,17,15,62,11,6,62,79,35,21,4,10,48,32,0,26,29,20,30,0,28,31,50,11,29,12,31,0,67,32,5,17,36,61,64
2010/1/12,0,24,0,50,0,82,31,16,25,87,0,31,44,16,14,30,14,9,61,63,17,23,3,5,63,47,0,38,57,23,0,25,32,0,47,15,29,12,30,0,42,47,6,23,27,36,46
2010/1/13,40,17,0,65,48,77,31,58,17,83,0,20,15,26,15,100,16,3,62,61,34,27,9,10,59,26,0,0,47,87,19,26,32,0,43,20,24,12,0,0,54,26,6,39,25,51,39
2010/1/14,0,18,0,81,48,70,29,27,20,81,0,0,20,10,15,88,14,7,57,56,69,24,7,12,44,53,0,0,36,99,20,26,34,0,48,22,26,11,30,0,61,53,5,27,23,53,34
2010/1/15,0,21,0,51,0,64,33,33,26,73,0,21,36,17,31,50,14,8,50,50,27,28,7,9,45,39,0,0,34,58,21,27,37,32,55,20,25,13,0,0,66,39,6,41,19,42,34
2010/1/16,0,18,0,27,0,70,25,15,34,84,0,90,36,29,0,32,12,2,53,26,25,28,10,5,23,47,0,0,74,81,0,75,19,0,48,6,24,13,0,0,43,47,6,18,13,24,21
2010/1/17,59,25,0,25,0,72,13,39,20,91,0,30,0,10,0,19,9,4,66,23,50,37,5,9,47,23,0,37,75,53,0,0,11,0,70,21,27,15,45,0,48,23,4,52,38,25,66
2010/1/18,0,21,0,48,0,66,25,18,32,100,0,46,55,18,49,29,15,5,58,36,58,22,4,13,40,29,0,0,36,29,0,87,44,0,73,30,27,15,0,0,45,29,5,37,31,30,53
2010/1/19,0,18,0,62,0,65,34,26,36,84,48,20,34,13,14,30,21,7,68,45,17,32,7,5,46,26,0,50,14,73,19,25,52,0,78,68,24,14,30,0,44,26,66,49,28,41,52
2010/1/20,0,20,0,68,0,66,28,46,31,78,0,0,38,22,14,46,20,4,54,44,33,39,3,7,42,31,0,49,35,85,19,0,33,30,86,73,27,16,29,45,44,31,62,32,25,49,44
2010/1/21,79,20,34,75,0,67,21,26,33,81,0,61,20,13,29,81,23,3,58,53,25,42,3,12,46,21,0,0,25,67,0,0,36,0,100,100,24,17,0,0,61,21,33,26,23,53,39
2010/1/22,0,21,0,28,0,61,16,16,27,72,0,94,35,13,15,22,20,9,56,40,53,51,5,7,52,32,0,39,37,73,20,26,24,32,89,90,28,16,62,0,41,32,41,40,21,75,39
2010/1/23,0,27,0,24,0,66,39,75,26,79,0,29,21,23,21,25,13,4,53,28,24,36,7,8,28,68,0,36,56,42,0,37,28,0,69,37,30,14,43,0,33,68,19,23,13,46,24
2010/1/24,0,26,0,32,0,74,39,38,26,80,0,29,28,9,21,25,13,0,56,29,49,23,10,16,23,46,0,0,52,51,0,37,28,0,67,24,24,15,43,0,27,46,17,33,41,36,68
2010/1/25,0,19,0,72,47,65,24,10,31,80,0,30,29,22,100,42,21,3,52,45,59,23,7,9,35,15,0,25,42,57,57,25,30,0,71,43,24,13,29,0,56,15,11,22,35,36,65
2010/1/26,0,22,33,39,0,63,25,20,32,77,0,20,38,32,14,38,15,7,52,48,58,24,7,14,61,20,44,24,52,60,0,50,40,30,63,30,23,12,0,0,69,20,7,40,30,53,46
2010/1/27,0,18,0,40,0,64,40,36,28,76,0,50,43,22,42,51,15,8,61,54,25,32,5,6,57,20,22,0,42,35,0,25,32,0,59,26,23,13,0,0,55,20,7,34,20,57,41
2010/1/28,0,18,0,74,0,66,27,26,18,66,0,40,29,13,0,47,14,4,62,57,59,25,5,10,58,52,22,25,70,64,0,38,27,0,58,27,29,12,0,0,62,52,6,26,24,61,37
2010/1/29,0,16,0,62,0,69,30,27,29,87,0,21,35,23,22,40,14,6,58,40,43,37,4,9,40,32,0,0,37,33,0,39,46,31,56,21,31,15,31,0,66,32,7,31,25,52,35
2010/1/30,0,27,0,23,0,80,18,29,21,88,0,28,34,9,40,24,10,2,54,28,24,20,5,7,16,15,0,0,54,54,27,35,32,0,64,14,52,16,41,0,28,15,5,25,12,35,23
2010/1/31,0,25,0,50,0,84,24,30,30,90,0,29,28,19,21,18,9,6,59,41,48,32,7,8,28,22,0,0,30,14,0,36,9,0,59,18,42,15,0,0,37,22,6,35,39,24,67
2010/2/1,39,15,0,78,0,70,35,36,19,77,0,60,29,29,14,51,17,4,65,53,34,25,9,17,42,15,65,49,32,38,19,0,45,0,53,18,26,14,29,0,46,15,5,28,46,41,63
2010/2/2,37,24,0,57,45,67,32,25,33,79,0,38,37,28,27,41,13,3,61,43,64,21,7,13,52,20,0,24,27,36,0,36,30,29,52,22,31,13,28,43,45,20,5,39,23,40,44
2010/2/3,0,23,0,70,0,60,35,40,22,75,0,77,47,31,14,21,15,0,61,51,57,23,12,14,26,45,0,72,27,49,18,97,42,0,54,16,36,15,0,0,60,45,6,23,21,49,36
2010/2/4,58,26,0,66,0,66,40,31,24,85,48,40,24,6,21,34,13,6,59,60,25,29,7,14,49,20,0,49,49,47,0,50,38,0,58,21,43,17,29,44,63,20,4,36,18,48,32
2010/2/5,0,40,35,73,0,66,26,43,15,71,50,31,70,30,15,22,15,4,56,50,52,29,4,13,48,37,0,25,22,30,29,26,37,0,64,30,50,21,0,47,30,37,7,33,23,100,33
2010/2/6,0,88,0,31,0,70,27,58,27,87,68,28,20,9,20,30,11,2,61,33,24,35,5,39,38,65,0,35,25,40,27,71,18,0,76,31,95,24,41,0,36,65,9,23,18,44,21
2010/2/7,57,56,0,44,0,77,32,30,21,85,0,58,27,14,20,55,11,4,61,31,0,19,7,26,50,22,0,36,40,41,27,0,16,43,64,29,74,20,0,0,48,22,6,35,36,38,60
2010/2/8,40,38,0,59,0,70,27,21,41,77,0,0,34,29,44,26,14,1,59,60,60,28,9,27,55,42,22,50,65,29,19,51,43,0,55,14,65,20,30,46,43,42,6,21,28,51,59
2010/2/9,0,51,0,59,0,70,33,25,42,77,0,38,42,18,27,45,14,0,61,64,48,27,5,20,33,20,0,0,24,46,18,0,39,0,60,30,86,23,0,43,47,20,5,25,18,55,40
2010/2/10,38,100,0,80,0,69,23,25,40,78,0,29,38,16,42,71,16,8,62,71,66,30,7,22,34,20,22,48,28,59,18,25,32,0,66,25,100,25,0,0,54,20,5,24,16,48,33
2010/2/11,0,59,0,67,0,67,26,51,47,73,0,40,62,26,29,59,11,1,58,82,66,30,7,40,54,57,0,25,32,25,0,50,35,0,67,19,82,17,0,0,47,57,4,20,21,50,29
2010/2/12,42,43,36,78,0,72,42,22,38,78,0,0,52,24,0,41,13,8,61,84,18,14,9,37,66,22,22,40,30,41,0,0,36,0,67,17,66,15,32,0,34,22,6,43,16,53,27
2010/2/13,0,29,0,56,0,67,59,15,22,78,0,0,28,9,21,25,7,6,54,49,74,30,0,47,22,23,0,36,41,19,0,74,13,0,67,15,60,14,0,0,31,23,4,29,17,23,18
2010/2/14,0,25,0,53,0,66,45,24,25,73,0,30,22,10,0,26,9,0,56,36,51,22,5,42,29,16,63,76,54,29,0,77,33,0,62,6,44,14,0,0,33,16,6,43,33,13,66
2010/2/15,0,24,0,99,0,73,53,29,40,88,54,0,38,22,16,33,11,3,60,83,37,23,8,28,64,35,25,28,39,18,21,0,30,0,58,7,46,14,0,50,42,35,5,20,29,46,55
2010/2/16,0,21,0,83,47,69,33,31,100,81,0,50,19,13,42,17,15,3,54,100,17,22,5,25,46,36,0,37,24,19,19,50,40,0,55,14,42,13,0,45,29,36,5,22,35,46,48
2010/2/17,0,26,0,74,0,67,26,26,64,85,0,60,38,29,21,55,14,4,57,82,17,31,3,20,65,31,0,37,28,16,38,50,40,0,55,12,33,13,29,0,51,31,6,26,31,41,42
2010/2/18,0,27,0,98,0,70,26,21,42,75,0,20,19,48,21,34,12,7,61,67,33,25,3,17,81,31,23,0,42,38,28,25,44,0,55,17,29,12,29,0,54,31,5,28,23,46,35
2010/2/19,0,22,0,69,0,62,31,43,58,89,0,21,46,20,15,31,14,3,50,59,35,25,5,35,69,16,36,0,52,27,40,27,30,0,51,9,28,13,0,0,80,16,6,36,17,43,26
2010/2/20,0,36,0,34,0,71,30,45,59,88,0,29,0,28,21,31,10,0,64,35,24,24,7,27,72,45,0,72,31,9,0,37,20,0,58,10,26,13,0,0,38,45,5,26,8,20,20
2010/2/21,0,33,0,60,0,75,34,15,71,83,0,58,0,28,41,37,11,6,100,39,96,22,5,41,33,15,100,0,56,9,0,36,5,0,63,11,26,14,0,0,51,15,5,47,40,20,61
2010/2/22,0,24,0,84,0,66,30,15,46,85,0,30,28,13,28,29,17,4,80,63,41,36,3,36,38,25,22,24,35,41,19,25,34,0,69,21,27,13,0,0,36,25,5,22,38,54,58
2010/2/23,0,29,0,85,0,67,36,20,43,82,0,38,41,31,34,45,15,3,62,70,80,18,5,53,63,44,33,0,34,18,18,36,45,0,76,17,29,43,0,0,57,44,6,29,32,46,44
2010/2/24,0,23,0,82,45,66,23,40,33,77,0,48,51,25,21,49,14,1,78,72,32,30,7,100,56,30,22,24,65,34,18,24,30,0,84,26,36,100,0,44,50,30,6,35,31,53,37
2010/2/25,0,31,33,76,0,62,45,20,43,78,0,68,42,19,21,37,14,1,61,54,82,32,5,72,60,40,44,24,27,25,18,0,43,0,87,23,40,31,0,0,53,40,6,22,26,52,34
2010/2/26,40,38,0,67,0,65,31,37,99,66,0,20,40,36,29,52,15,3,72,60,26,28,4,65,55,26,23,38,58,39,19,26,22,0,84,20,48,21,45,0,45,26,7,41,28,44,34
2010/2/27,55,21,0,58,66,60,33,14,75,80,0,56,27,9,0,12,17,2,53,45,23,17,5,79,59,22,28,34,39,71,0,35,20,0,93,30,33,18,41,0,25,22,6,31,21,25,27
2010/2/28,0,28,0,45,0,70,34,22,59,78,0,29,21,9,41,24,15,2,69,45,36,15,15,85,22,22,0,54,30,73,27,0,24,0,93,26,28,18,0,0,31,22,9,32,44,27,70
2010/3/1,0,26,0,88,46,71,28,10,55,85,0,79,48,29,42,46,17,6,72,70,41,35,7,89,53,51,0,49,38,76,38,0,49,30,74,22,23,17,58,0,51,51,7,26,52,58,70
2010/3/2,38,26,32,72,0,66,31,35,38,83,0,39,23,22,27,41,16,7,55,69,48,21,7,49,70,20,21,24,47,40,18,72,34,0,75,21,22,15,28,0,59,20,8,31,45,63,53
2010/3/3,38,24,0,97,0,67,31,10,35,77,0,49,28,25,28,70,15,4,63,62,33,21,3,49,49,20,0,24,24,37,19,0,41,0,66,22,20,13,29,0,49,20,8,24,45,66,52
2010/3/4,39,23,0,73,0,70,41,26,46,73,0,40,29,29,14,60,15,6,61,65,17,30,3,48,39,10,44,25,63,41,19,0,37,30,67,20,20,13,44,0,35,10,7,30,29,46,36
2010/3/5,0,23,36,52,0,59,35,0,52,73,0,53,41,27,15,18,16,1,57,53,18,19,15,44,61,22,23,52,37,37,0,0,49,32,61,16,18,11,0,0,43,22,8,36,23,70,32
2010/3/6,0,24,0,40,0,56,33,100,36,69,71,0,29,10,32,25,10,6,65,26,25,29,5,50,29,0,0,37,42,24,0,0,32,0,68,19,19,13,0,0,27,0,6,33,17,37,19
2010/3/7,0,20,0,44,0,72,42,39,34,85,0,30,36,24,0,51,12,6,58,36,63,33,5,54,23,23,29,0,42,43,0,38,29,0,74,14,21,13,0,0,55,23,7,15,43,41,63
2010/3/8,0,17,0,70,0,68,32,10,30,81,0,41,34,19,14,56,16,3,71,48,68,35,3,30,43,31,21,38,32,68,58,51,37,0,60,24,19,11,0,0,45,31,7,24,38,59,55
2010/3/9,38,21,0,71,46,66,38,15,27,75,0,20,42,16,14,42,17,7,71,54,0,40,8,28,38,20,21,48,48,53,0,25,45,0,60,30,17,12,0,44,45,20,12,22,31,48,43
2010/3/10,39,24,0,65,0,65,25,15,39,74,48,30,48,19,21,46,15,6,76,57,66,24,8,29,49,20,22,73,31,47,19,50,34,30,67,24,15,12,0,0,48,20,11,40,33,64,40
2010/3/11,0,17,0,64,0,64,27,21,34,73,0,30,58,19,29,60,17,1,70,55,34,34,7,25,58,15,0,37,32,35,19,50,38,0,71,28,19,13,0,0,58,15,15,36,31,59,38
2010/3/12,0,20,0,40,0,61,23,43,27,73,0,52,65,17,22,44,18,0,53,43,17,27,7,20,36,32,0,26,29,33,20,26,43,31,74,22,16,12,0,47,52,32,9,40,19,44,27
2010/3/13,56,16,0,26,0,63,42,22,47,86,0,0,14,18,51,31,15,2,70,22,48,37,5,42,33,15,29,0,56,23,27,36,25,0,85,14,18,14,42,0,39,15,6,29,15,27,19
2010/3/14,0,23,0,37,0,62,49,91,46,81,0,44,43,19,21,37,28,6,67,24,37,46,15,29,28,30,29,36,41,14,28,0,21,0,88,20,18,17,43,66,49,30,7,30,35,25,61
2010/3/15,0,18,0,64,47,61,78,21,31,75,0,61,34,26,14,48,35,3,53,43,51,36,7,19,70,31,43,25,39,32,29,25,43,0,73,39,15,17,30,45,58,31,7,29,38,50,60
2010/3/16,59,23,0,69,0,69,69,10,31,77,48,30,39,29,29,34,37,1,57,47,68,31,5,21,50,36,0,50,39,29,77,51,54,0,61,25,15,15,30,45,55,36,8,43,27,39,38
2010/3/17,40,20,0,62,0,60,56,48,39,80,50,52,25,27,15,61,34,4,63,47,17,29,9,17,47,11,22,26,40,30,29,39,46,0,56,18,15,13,31,0,52,11,7,31,24,38,32
2010/3/18,41,16,0,55,0,57,60,38,27,76,0,32,51,10,0,13,26,4,50,51,35,24,7,23,44,22,0,26,37,63,0,26,47,0,56,18,16,12,0,0,41,22,7,28,18,33,29
2010/3/19,43,20,0,32,0,63,52,28,27,81,0,22,21,28,16,33,25,2,57,44,28,37,4,25,42,17,0,27,43,21,0,56,39,33,54,16,16,13,0,0,27,17,6,31,16,31,27
2010/3/20,0,25,0,47,0,63,45,32,35,96,0,31,15,20,22,26,18,2,59,24,26,20,5,24,18,16,0,0,49,20,0,58,37,93,61,8,17,11,0,0,30,16,5,37,7,34,18
2010/3/21,0,20,0,43,0,66,66,15,26,83,0,30,43,29,21,25,16,4,69,31,25,33,8,22,63,38,0,0,31,28,28,37,21,0,68,15,19,14,0,0,34,38,6,30,44,36,64
2010/3/22,0,18,33,53,46,69,44,30,21,74,47,49,52,22,14,38,19,3,64,44,33,41,7,22,38,25,0,0,48,44,37,62,63,0,65,16,13,12,29,0,60,25,5,30,29,53,54
2010/3/23,76,22,0,39,46,64,32,51,24,78,0,20,28,13,21,46,20,3,62,50,33,32,5,13,75,10,0,36,59,28,19,25,52,30,63,16,14,12,29,44,48,10,7,22,23,48,37
2010/3/24,0,20,0,53,0,61,41,52,33,76,48,30,34,58,14,55,17,4,64,72,42,25,19,13,100,21,0,74,32,48,19,25,56,30,57,15,15,14,0,0,55,21,8,38,23,44,33
2010/3/25,39,21,0,65,0,64,22,21,36,78,0,60,34,38,21,30,15,3,57,55,17,30,7,10,54,21,0,25,39,19,47,25,38,61,56,10,12,13,58,0,67,21,9,34,21,53,29
2010/3/26,42,27,0,48,0,58,31,33,28,70,0,21,26,34,15,23,16,4,63,39,36,16,5,11,45,16,24,53,56,14,0,0,33,32,57,6,12,12,0,0,36,16,7,36,24,50,31
2010/3/27,0,22,0,44,70,65,42,31,34,78,0,30,29,19,21,38,12,0,61,23,0,22,5,17,58,0,29,0,48,10,0,38,29,0,60,13,16,12,44,0,25,0,6,24,12,25,19
2010/3/28,0,21,100,43,0,70,40,31,19,77,0,30,43,19,32,44,10,2,60,27,0,25,8,23,46,15,0,0,26,9,28,0,24,0,65,12,12,15,44,0,36,15,11,36,100,39,90
2010/3/29,39,16,0,68,46,67,39,15,27,83,0,30,43,22,21,51,20,3,58,49,25,32,20,14,54,61,0,98,49,38,19,50,59,0,71,19,12,13,58,0,47,61,20,28,53,38,66
2010/3/30,0,22,0,68,46,66,22,20,34,83,0,30,33,22,35,38,33,1,59,56,33,30,10,13,57,56,21,24,59,38,38,50,46,0,77,34,12,12,0,0,59,56,12,22,20,42,40
2010/3/31,81,25,0,58,0,65,31,32,22,75,50,51,35,20,15,35,39,0,62,45,34,32,16,10,40,21,0,25,47,49,39,26,38,0,67,30,13,13,0,0,42,21,8,44,24,41,35
2010/4/1,0,43,0,45,0,58,31,17,30,74,52,43,41,10,0,36,42,11,55,41,36,29,4,8,37,17,0,27,23,17,20,81,49,0,54,21,12,12,0,0,37,17,7,41,22,41,29
2010/4/2,48,32,0,54,0,56,22,13,32,79,0,37,24,8,18,26,28,3,59,40,42,38,4,9,57,13,0,61,61,16,23,62,60,0,58,19,13,13,73,56,43,13,9,42,13,55,27
2010/4/3,0,24,0,46,0,63,22,25,31,89,76,63,15,31,23,27,16,0,62,25,27,17,8,27,49,16,0,0,45,10,30,40,24,0,58,17,14,13,47,0,26,16,6,35,9,32,20
2010/4/4,66,22,0,33,79,70,35,17,25,79,0,34,49,0,0,28,16,5,61,30,28,30,6,22,64,26,0,0,35,53,0,42,23,0,59,10,12,13,49,0,36,26,8,40,43,21,63
2010/4/5,0,19,0,58,0,63,33,0,47,70,0,21,30,10,22,31,20,4,56,38,17,35,7,6,56,16,0,51,29,29,59,0,63,0,58,28,12,13,0,0,39,16,12,29,40,40,59
2010/4/6,0,18,0,76,0,57,28,21,41,76,0,59,34,26,28,51,17,3,71,46,50,48,14,15,61,10,21,25,35,48,37,75,66,0,59,20,13,15,0,45,44,10,15,28,32,41,41
2010/4/7,0,19,0,78,0,62,28,26,34,76,0,100,68,10,14,90,19,8,61,54,25,47,10,11,54,21,0,37,39,51,19,100,54,0,57,24,11,12,0,0,55,21,9,26,23,43,35
2010/4/8,0,22,0,77,48,58,37,21,44,81,48,20,34,36,14,47,17,9,65,41,25,35,14,14,51,26,0,62,50,42,29,38,57,31,62,17,13,12,59,0,58,26,11,22,21,54,30
2010/4/9,0,19,0,62,50,56,30,22,35,79,0,22,52,21,15,45,16,0,64,43,63,29,4,12,45,44,0,26,49,31,21,27,45,0,56,20,10,12,31,0,34,44,9,36,24,38,29
2010/4/10,59,22,51,49,71,62,30,47,29,74,72,76,29,19,21,32,14,4,57,24,76,20,8,16,29,23,29,37,27,19,0,38,27,46,56,14,11,13,0,68,44,23,6,43,14,24,21
2010/4/11,0,26,0,57,0,61,29,54,24,81,0,0,29,10,43,70,12,4,63,41,25,36,5,12,52,23,0,75,63,19,29,38,30,0,71,25,14,12,0,0,62,23,9,30,43,36,69
2010/4/12,39,18,0,84,92,71,51,25,35,77,0,20,38,25,14,67,21,7,61,48,33,45,10,10,60,25,0,49,45,47,37,25,58,29,58,42,10,12,0,44,45,25,8,28,40,54,61
2010/4/13,38,19,0,72,46,67,37,30,28,76,47,0,56,16,42,50,23,4,71,52,16,43,10,11,63,20,22,24,41,46,28,24,61,0,61,30,11,12,29,44,58,20,7,33,40,47,51
2010/4/14,0,20,0,89,46,67,63,15,29,73,0,59,28,22,21,37,20,5,60,61,0,28,3,9,60,15,22,24,48,47,19,49,55,0,56,21,11,12,0,0,71,15,9,22,31,43,43
2010/4/15,39,64,0,78,47,63,51,41,37,70,0,20,48,13,43,42,21,3,52,61,25,34,7,6,69,0,0,25,28,54,19,25,57,0,56,21,11,12,0,0,42,0,9,26,38,44,44
2010/4/16,0,41,35,66,0,61,34,22,34,68,50,52,30,27,30,36,17,12,57,45,35,26,7,7,56,22,47,39,26,70,20,26,49,0,67,15,12,13,31,0,40,22,7,27,46,51,46
2010/4/17,59,36,0,30,71,62,42,62,49,81,0,0,50,29,0,44,16,4,58,36,50,29,5,22,40,15,0,37,58,52,28,0,48,0,79,16,16,14,0,0,23,15,8,48,15,44,28
2010/4/18,0,31,0,52,0,62,40,46,32,82,72,91,15,34,21,63,15,2,62,49,25,16,8,30,23,15,0,37,53,100,43,38,51,0,70,9,13,12,0,0,36,15,5,39,42,41,72
2010/4/19,0,29,0,100,0,63,38,10,35,94,48,39,76,16,28,59,19,6,70,71,33,28,7,12,61,10,22,61,35,50,38,24,64,45,56,27,10,12,0,45,61,10,7,24,38,40,62
2010/4/20,38,25,0,67,0,62,34,10,31,79,47,58,42,44,48,57,19,7,60,67,24,27,7,7,41,20,0,72,31,80,28,24,36,0,57,26,11,12,57,44,72,20,8,35,31,60,42
2010/4/21,0,30,0,89,46,58,40,20,22,77,48,39,38,44,0,29,16,3,65,57,74,32,8,8,41,15,0,0,24,59,19,37,61,0,70,24,11,11,29,0,72,15,10,47,24,34,35
2010/4/22,39,36,0,84,0,59,39,26,43,78,0,79,67,16,28,63,17,4,61,71,33,38,12,11,65,10,0,24,38,63,19,37,41,0,66,27,12,13,29,44,57,10,16,38,17,43,27
2010/4/23,0,33,0,74,50,56,34,33,26,82,50,42,20,24,30,67,17,3,52,60,88,34,11,6,69,0,0,52,44,43,20,26,47,31,67,17,11,13,31,0,57,0,13,25,17,46,26
2010/4/24,57,45,0,56,0,56,14,23,24,71,0,59,35,14,0,50,11,2,60,32,74,48,10,10,34,15,0,36,62,33,0,37,30,44,72,15,11,14,0,0,25,15,41,36,12,31,17
2010/4/25,57,43,0,47,0,68,30,45,17,87,0,29,28,37,0,68,13,6,71,40,24,32,15,8,39,15,0,36,46,42,41,37,31,44,70,14,13,13,0,0,38,15,55,55,30,32,63
2010/4/26,37,33,0,79,0,59,45,25,28,82,46,19,37,27,54,53,16,4,58,72,32,34,7,11,55,20,0,47,40,85,18,48,56,0,76,20,10,12,28,0,56,20,40,27,33,52,54
2010/4/27,37,28,0,70,0,60,32,29,26,85,46,38,46,27,14,64,15,7,67,78,32,33,5,7,51,10,0,59,23,39,18,36,54,29,57,23,12,13,0,0,63,10,22,32,25,48,35
2010/4/28,77,26,0,74,0,64,39,41,32,72,0,30,43,57,14,88,16,7,66,62,17,27,7,9,53,15,0,49,42,50,38,25,48,0,57,18,11,10,0,0,62,15,14,38,18,46,33
2010/4/29,0,24,34,80,0,67,46,32,33,75,49,61,54,46,15,56,16,9,82,63,17,33,11,5,51,21,0,25,32,29,48,52,54,61,59,21,12,12,30,0,59,21,9,25,23,36,28
2010/4/30,0,28,37,61,0,63,29,17,25,76,0,87,57,28,15,42,15,8,65,43,18,38,6,3,25,17,0,67,42,49,21,55,48,0,60,25,12,13,0,0,58,17,15,26,17,51,30
2010/5/1,61,34,0,40,0,63,22,49,35,86,0,0,38,20,0,33,16,4,60,16,26,25,5,11,48,32,0,0,82,20,44,59,24,47,71,12,10,17,0,0,33,32,28,50,18,25,16
2010/5/2,0,35,0,44,0,63,28,32,42,74,0,91,44,39,22,39,51,4,80,38,51,24,5,12,58,79,0,0,87,15,58,38,44,69,84,23,12,14,45,0,100,79,18,43,36,22,60
2010/5/3,0,22,0,82,0,67,36,36,26,76,0,30,72,35,28,34,89,3,64,58,34,28,12,6,62,57,0,87,28,70,48,88,73,30,67,32,10,13,0,45,64,57,17,41,29,37,53
2010/5/4,0,22,0,58,0,64,33,26,39,74,0,20,43,51,21,80,100,1,58,51,17,28,9,8,50,97,0,37,28,60,75,25,63,60,61,30,10,13,29,0,98,97,11,22,23,37,37
2010/5/5,59,22,34,64,0,66,34,21,33,72,0,60,63,100,29,86,75,3,60,48,25,33,5,4,16,47,0,50,39,26,48,76,69,0,54,13,9,12,0,45,76,47,11,35,24,37,30
2010/5/6,0,23,0,77,0,62,36,16,12,83,100,52,55,67,37,84,72,4,62,48,35,38,5,7,48,43,22,26,48,20,49,53,65,0,54,16,10,12,0,0,74,43,10,36,17,49,28
2010/5/7,0,23,0,60,0,66,28,34,24,80,0,56,32,75,48,85,62,3,60,40,37,31,4,9,30,23,0,55,35,57,84,56,52,0,56,16,11,13,33,0,63,23,12,36,18,51,27
2010/5/8,62,22,0,23,0,59,29,33,26,80,0,0,23,30,0,47,41,11,58,20,53,33,11,10,30,24,0,0,44,35,60,39,38,0,62,7,13,15,0,0,53,24,12,29,14,31,16
2010/5/9,0,27,0,38,0,68,29,33,31,84,0,32,31,41,23,48,30,11,77,36,27,20,0,7,25,100,0,60,45,31,46,41,29,0,58,15,10,13,47,72,56,100,7,36,31,30,62
2010/5/10,0,19,0,53,0,69,37,21,28,82,0,41,34,39,29,56,41,10,83,48,0,40,17,7,51,36,0,50,39,19,38,25,56,0,63,23,10,13,0,0,68,36,19,22,34,49,53
2010/5/11,79,17,0,60,0,66,34,26,36,88,48,40,44,45,28,55,33,4,61,49,51,34,5,9,62,21,0,50,56,51,19,25,57,0,64,28,11,15,29,0,52,21,53,36,23,28,36
2010/5/12,79,22,0,63,95,65,28,52,25,83,49,0,44,52,58,39,31,1,57,50,51,38,3,12,47,37,0,25,21,48,77,26,61,0,64,17,11,14,59,0,60,37,26,41,20,28,32
2010/5/13,41,25,0,58,0,64,36,43,30,80,49,31,40,27,22,22,27,7,54,55,43,48,7,6,48,21,0,26,40,23,39,52,53,0,63,22,10,12,0,0,61,21,20,29,20,45,30
2010/5/14,0,26,0,62,0,61,23,51,20,78,0,22,43,50,24,66,26,2,52,46,37,42,8,3,38,29,23,27,54,32,32,55,58,33,61,18,10,13,33,0,47,29,18,29,14,28,23
2010/5/15,0,27,0,41,0,59,31,17,26,93,0,32,31,21,0,55,18,0,50,13,81,44,11,17,25,17,0,40,57,10,46,81,37,0,61,19,11,14,0,0,34,17,11,23,15,22,18
2010/5/16,0,29,0,53,0,66,39,25,37,93,0,64,47,11,24,42,22,2,56,27,55,54,6,13,57,17,0,60,63,26,61,0,40,48,60,14,12,13,0,0,42,17,12,66,36,20,60
2010/5/17,40,20,0,77,0,61,17,47,20,89,0,61,49,36,36,39,27,10,61,53,34,77,3,9,39,21,0,100,46,23,58,64,83,31,63,21,11,13,0,0,56,21,10,39,28,35,54
2010/5/18,39,17,0,49,47,65,32,26,41,88,0,20,38,26,14,47,22,11,64,45,33,55,5,2,61,36,0,25,49,29,19,50,65,0,69,22,10,14,29,0,74,36,12,34,19,23,36
2010/5/19,100,17,0,52,48,55,100,42,27,81,0,41,34,23,15,69,20,19,61,44,17,65,4,9,74,26,0,76,58,52,58,51,64,0,59,24,10,13,0,0,61,26,16,35,18,21,30
2010/5/20,0,15,0,59,0,58,85,21,20,77,0,53,30,34,22,27,21,12,60,62,53,65,9,6,48,43,22,39,48,37,40,66,60,0,58,22,9,15,31,0,56,43,17,38,21,47,29
2010/5/21,0,23,0,51,0,58,52,17,27,70,0,0,22,32,0,28,20,8,47,46,56,100,12,14,39,35,0,55,43,43,64,57,41,0,53,22,11,14,0,0,38,35,14,36,15,45,28
2010/5/22,0,27,0,20,0,57,63,42,24,88,0,32,23,10,23,21,14,7,44,15,41,62,6,3,49,17,0,0,45,20,0,81,43,0,59,11,12,15,47,0,27,17,8,46,11,14,17
2010/5/23,0,35,0,47,0,64,37,25,37,87,0,33,31,0,0,21,12,2,57,27,0,59,11,17,19,34,0,40,34,31,62,0,37,99,57,14,12,12,48,0,47,34,10,20,51,21,57
2010/5/24,0,20,0,45,0,61,38,27,32,88,0,62,20,34,30,40,20,6,46,46,44,45,7,6,80,27,0,0,77,40,40,39,66,31,56,20,10,11,0,0,63,27,12,42,28,37,52
